"Timestamp","Discord Username (include ""#0000"" ID number)","ETH Wallet Address (MetaMask)"
"2021/10/06 7:45:28 PM EST","serge#5931","0x0Ba79a5aBe9aa1bB28B02c6412ba59b90F1DB489"
"2021/10/07 12:40:32 AM EST","Gratwanderer#1480","0xA4A9C4D861b4e3f0Ca436B82D99517FD8AADEdA5"
"2021/10/09 6:29:18 AM EST","sho_fpv #9235","0x23E56392e605fE5D2eDDE803Be5070bA27a6Cae3"
"2021/10/09 7:52:16 PM EST","Iamjosh #0938","0xDB7f1A997313a676990c59b96C125a26bdF79459"
"2021/10/09 8:34:17 PM EST","h8dip#6814","0x00c0760336855d069cB09f0eE7857464BAb5EB30"
"2021/10/11 1:12:16 PM EST","netadictus#8400","0x3c655AEDABD12a7C48C2f75de75f186B2D49722A"
"2021/10/11 1:31:20 PM EST","mrz#2799","0x17C2549B78439F056024EF500149EE75D818Bf7E"
"2021/10/18 12:35:18 PM EST","nancynik#0171","0x8fda0ae3f9d91e95f60a631eae417615c6eae130"
"2021/10/19 7:21:00 PM EST","Mindflow ","0xfeB40815bA3018Eb284b9AE4C89939264f74B5bF"
"2021/10/20 1:52:53 AM EST","FelixXjiragh#5023","0x175f42D0B7743F7368EC016c4CE9E6eB5aEf785c"
"2021/10/20 9:20:18 AM EST","Lalo Cripto#8138","0x4D88535301f606c534531415b8A7b3C5675C1FA3"
"2021/10/20 10:06:20 AM EST","cass4444#4962","0xD83B6B54372dA439F360ED5e07391a5f278affA3"
"2021/10/20 11:35:14 AM EST","abrahamcr #9066","0xcE36608441F24E2d5642932F2A511D98BBBC06A9"
"2021/10/20 11:43:17 AM EST","cortega#6281","0xf1a507548f41dAedc35eb9b445564597a73B2985"
"2021/10/20 11:44:00 AM EST","Rebeca Dalier#7889","0x62C8EdAC6Ae5CAff7A8391C2D101207b6E5EcC30"
"2021/10/21 11:43:27 PM EST","sensei#6056","0xEa70E7BCa0F8A0Ea9049CfaB7c8127aedBD25885"
"2021/10/22 10:59:32 AM EST","MirSor#9953","0x5F1000b5dAB5be37304f919a7de9915B5913C4a4"
"2021/10/22 8:27:02 PM EST","betodigori#0583","0x9e771b3C45e0116ffe0682009B8707b6E54a40a4"
"2021/10/22 8:28:09 PM EST","dparedes#6402","0x4Dd139A6DDf3A4b54878F9C40419ecF6877d5101"
"2021/10/23 12:14:52 AM EST","tellesjaime#1944","0xAB2a81B5Ed5f4A3926A25A17e9DB1EF18d8E2bEd"
"2021/10/23 10:32:01 AM EST","Cottler#0291","0x829BEA4d937e6E4241Df2693b3cDfAAb616A7330"
"2021/10/23 8:43:24 PM EST","DanteAc#6179","0x8e0a74271E98802A65C71d10c650AdBfc6AD45Cc"
"2021/10/24 4:35:25 PM EST","donmago323#7757","0xbb5c651bc5B53df8e3cB24bCFc2222732303cF8F"
"2021/10/24 11:59:33 PM EST","carrot#2153","0xee183D9E1e2D133648829b37f5a0aB6436628C55"
"2021/10/25 5:51:33 AM EST","crypto#6398","0xa7da2CC7E8d71521B617273CF98e958DD3f94121"
"2021/10/25 10:34:34 AM EST","drx#4683","0x95c0B05cDf55b7D37cdE68B51A42eFDD244Fa5B6"
"2021/10/25 1:11:38 PM EST","Blootmaxi#4123","0x1D246d6F6841CD394fCf3642356162B73d903b2d"
"2021/10/25 2:01:27 PM EST","Stanlee_Billi #5317","0xA4da42dcd48b50cf3ba8e0133005f68fF25aF64d"
"2021/10/25 10:01:00 PM EST","bigcthelegend#8331","0xf6cF98ac3d256ECE22a886740aDfE81C86AAc322"
"2021/10/25 10:02:45 PM EST","jimmywimmy#3738","0x7B2E5806220130C29b65095177927A794eE8AC3E"
"2021/10/26 6:54:20 AM EST","dani6789#6692","0x8902823f879B30ecFcC97B5532038694e5E2B655"
"2021/10/26 8:10:45 AM EST","ManuelRoberto#6881","0x5277BE068Ed783fF99d713fA23EcD521c5365C9f"
"2021/10/26 1:28:08 PM EST","klaz5#4262","0xBC7C6f1Cc8CEa685E508C69f05Ce6Be01aEA19cB"
"2021/10/26 3:29:10 PM EST","Czar#4990","0x5b08fF0735b7a3e96e8d1BFb9a1181A03ae4bD03"
"2021/10/26 8:40:06 PM EST","W.hittingto.N #7579","0x95Ae13b0ef37F03f99ef7F3F183Cd789343F2f9a"
"2021/10/26 10:16:03 PM EST","Zeus07#5805","0x2091E0f002de288287653EC5EC5CC08b67B2783c"
"2021/10/27 12:01:33 AM EST","elcucuy#7488","0x3583cDBFFe7971AF2B79B260236dDBE20813bAaF"
"2021/10/27 2:46:42 AM EST","BCDre#6014","0x54f694f45221742cE36B133c5b33Fb2d8658FB81"
"2021/10/27 3:04:26 PM EST","Cf17#2799","0xDa065bBdCA63Af402A0e981Fef998a25B94701c8"
"2021/10/27 4:57:37 PM EST","Jahasv#6360","0xB74832dA6a982D99B03299391B6c35ca9310d30b"
"2021/10/27 9:51:54 PM EST","D Sneakerz#1871","0xd835dE691015c836eBa7B42544849F0dDf723BFB"
"2021/10/28 1:00:06 PM EST","[NFT] BearX I 0xRajput#8290","0x0DFaC91c90eBB2339a3dadd37A8A80E6112f0F49"
"2021/10/28 1:02:10 PM EST","Blackberry#6321","0x104bA364EE3e96ffE4807EFb6Eb22E9f997B00E6"
"2021/10/28 1:27:17 PM EST","mr_awarlock#1645","0xA752EC67258845E9B0800f16de513550db9C4233"
"2021/10/28 1:27:58 PM EST","LightningBolt24#3010","0xf86FEbA5cBFF3d221fB5D20d6f75C8fa0285d632"
"2021/10/28 2:08:15 PM EST","ED127#6649","0x4b7e2e571482320233412fbf735e2d66854d819c"
"2021/10/28 2:28:02 PM EST","GerLad#4499","0x0195609d01EdB7c8c0d640a9538D34a950eDAa9F"
"2021/10/28 2:29:56 PM EST","dru#7777","0x365b94AB73AB228544A66E46B90Be4dEB946A6dE"
"2021/10/28 2:30:51 PM EST","jeshka#5916","0xbD702D5eC77056C47D56ED858847086608Ba4552"
"2021/10/28 2:31:07 PM EST","cryptovalley#8963","0x336F6BECa25Aed6bc4B4F9E6eF5B3Eb415aEcA67"
"2021/10/28 2:32:02 PM EST","@Anthony.#7513","0x064635e9aD8c770dF4430180f0983AC0C59fC3FC"
"2021/10/28 2:35:41 PM EST","TitiusMaximus#4137","0x37F106588b973BcDCde85c960957F399Ae43eFD2"
"2021/10/28 2:37:39 PM EST","Beadsman#0138","0x3Dab0Bb675B5f0B041CDdeAbb6E17AB12532470b"
"2021/10/28 2:38:03 PM EST","#4459","0x1AE0C7a6E2DBA4757165C354153C8e43097f6579"
"2021/10/28 2:43:14 PM EST","Wrath#9645","0x2BD95558E74560c9813d12839A44E2176bfd07d0"
"2021/10/28 2:54:26 PM EST","Rwin020#4716","0xea26b0451722e278a8ec4f37e915cade028af92c"
"2021/10/28 2:55:49 PM EST","RazorXP#1087","0xB9D22624338242947F234ad0692bCdce5ea377FA"
"2021/10/28 2:56:28 PM EST","Takumi#9201","0xa5D8aeb899FE01aD04C52cbE523D786666f0E74a"
"2021/10/28 3:35:18 PM EST","babygap91#8913","0xE045Be0C45fd4b6E0FaEFe140C645dA7172389f0"
